record_id	brand	model_name	variant_or_state	production_period	kind	differences	status	source_url	notes
REC-207	Analog Man	King of Tone	Version 1 / first 50	2003	Edition / chronology	Analog Man states the King of Tone was first sold in November 2003; early material documents pedal number 1 in late 2003 touring use, and specialist sale records identify the original run as only 50 units.	VERIFIED	https://www.analogman.com/kotdelay.htm	Treat V1 first-50 units as a collectible production state; do not infer later version features backward.
REC-208	Analog Man	King of Tone	Version 3	Late 2004	Generation / chronology	Analog Man states the five-knob Version 3 was created in late 2004 in response to requests for separate drive controls.	VERIFIED	https://www.analogman.com/kotdelay.htm	Very small initial V3 run is documented separately in secondary histories; keep exact quantity research-level unless primary evidence is found.
REC-209	Analog Man	King of Tone	Version 4	2006-present	Generation / chronology	Analog Man states Version 4 was developed in late 2005 and came out in spring 2006, adding separate controls for each channel and two independent overdrive circuits.	VERIFIED	https://analogman.com/kingtone.htm	Use spring 2006 as the retail-era boundary rather than the late-2005 development date.
REC-210	Skreddy Pedals	Mayonaise	1st edition	2004	Model / chronology	Skreddy timeline identifies September 2004 as the first pedal, Mayonaise, described as a period-correct recreation of a circa-1970/1971 triangle-era Big Muff.	VERIFIED	https://www.effectsdatabase.com/model/skreddy	Archive the first edition separately from the later Mayonaise MkIII reissue.
REC-211	Skreddy Pedals	Screw Driver	Original design	2005	Model / chronology	Skreddy timeline identifies September 2005 as the first original design, the Screw Driver, following the earlier Mayonaise and Zero projects.	VERIFIED	https://www.effectsdatabase.com/model/skreddy	Important marker that the builder moved from vintage recreation into original boutique design.
REC-212	Catalinbread	Dirty Little Secret	V1 / early production	2008-2009	Generation / chronology	Catalinbread history places the Dirty Little Secret release in the 2008-2009 period and describes it as a major early success; product documentation identifies the pedal as a British amplifier foundation/overdrive.	RESEARCH	https://www.effectsdatabase.com/model/catalinbread/dirtylittlesecret	Keep exact first-sale date provisional; contemporary variants and later MkII states should remain distinct.
REC-213	MI Audio	Crunch Box	Original production	2006-2008	Model / chronology	MI Audio describes the Crunch Box design as settled in late 2003 after experimentation and says the final design was released in early 2006; the first batch of 500 reportedly sold out within three weeks.	VERIFIED	https://www.effectsdatabase.com/model/miaudio/crunchbox	Some secondary sources use 2005 as a launch year; preserve the stronger 2006 final-release statement while retaining the 2005 claim as a research note if encountered.
REC-214	HomeBrew Electronics	Power Screamer	Original production	Early 2000s	Model / chronology	HomeBrew Electronics founder Joel Weaver identifies the Power Screamer as the company’s first pedal; the company timeline says Weaver quit his day job to make pedals full time in 2001.	RESEARCH	https://www.effectsdatabase.com/model/hbe	Exact first-sale year is not pinned down by the surviving timeline; treat early-2000s dating as provisional.
REC-215	EarthQuaker Devices	Hoof	First full-production state	2007	Model / chronology	EarthQuaker Devices states the Hoof was its first full-production run and dates that release to 2007; builder history records the first production Hoof sale on March 18, 2007.	VERIFIED	https://www.earthquakerdevices.com/about	Strong anchor for the transition from one-off builds to a commercial boutique production line.
REC-216	EarthQuaker Devices	Tone Reaper	V1 / original production	2009	Model / chronology	Effects Database dates the Tone Reaper to May 2009, while current EarthQuaker documentation preserves the Tone Reaper as a distinct legacy fuzz model.	RESEARCH	https://www.effectsdatabase.com/model/earthquaker/tonereaper	Use v1/pre-release specimen evidence to separate early production from later revisions.
REC-217	Devi Ever FX	Hyperion	Early production state	2008	Model / chronology	Effects Database documents the Hyperion as a Devi Ever fuzz and provides a September 2008 period video, with the model published in December 2008.	RESEARCH	https://www.effectsdatabase.com/model/deviever/hyperion	Useful evidence for early Devi Ever retail presence; exact initial release month remains unresolved.
REC-218	Fulltone	Full-Drive	Early silver enclosure state	1995	Generation / chronology	Contemporary retrospective evidence identifies a 1995 Full-Drive specimen with the early aluminum enclosure, while broader industry reference material dates the Full-Drive 2 debut to 1995.	RESEARCH	https://www.guitarplayer.com/gear/the-top-50-stompboxes-of-all-time-50-years-of-foot-stompin-tone	Keep the earliest silver/aluminum state distinct from later Full-Drive 2 enclosure and feature changes.
REC-219	Fulltone	OCD	Original production	2004	Model / chronology	Fulltone states the OCD was born in 2004 and later became a major Fulltone overdrive model, making it a strong midpoint marker in the boutique-drive era.	VERIFIED	https://fulltone.myshopify.com/products/ocd	Later OCD versions should be modeled as separate generation records when documented.
