entity	period_or_state	manufacturer_or_builder	relationship_type	status	confidence	primary_source	note
Jen Fuzz	late 1960s onward	JEN Elettronica	PHYSICAL_MANUFACTURER	RESEARCH_VALIDATED	HIGH	https://www.effectsdatabase.com/model/jen/diecast/fuzz	Jen Fuzz is documented as Italian-built by Jen Pescara and belongs to the Italian Vox V828/V8281-derived family.
Jen Tone Bender	late 1960s onward	JEN Elettronica	PHYSICAL_MANUFACTURER	RESEARCH_VALIDATED	HIGH	https://www.effectsdatabase.com/model/jen/diecast/tonebender	Jen Tone Bender is a Jen-built Italian state derived from the Vox V828/V8281 production family.
Elka Fuzz	late 1960s-1970s	JEN Elettronica	OEM_MANUFACTURING	RESEARCH_VALIDATED	HIGH	https://www.effectsdatabase.com/model/elka/fuzz	Elka-marketed fuzz is documented as built in Italy by Jen and sharing the Jen Fuzz mechanical/design family.
Luxor Fuzz	late 1960s-1970s	JEN Elettronica	OEM_MANUFACTURING	RESEARCH_VALIDATED	HIGH	https://www.effectsdatabase.com/model/luxor/fuzz	Luxor Fuzz is documented as Jen-built and part of the same Italian family.
Nova Tone Bender	late 1960s-1970s	JEN Elettronica	OEM_MANUFACTURING	RESEARCH_VALIDATED	HIGH	https://www.effectsdatabase.com/model/nova/tonebender	Nova Tone Bender is documented as Jen-built and part of the same Italian family.
Unicord Fuzz	late 1960s-1970s	JEN Elettronica	OEM_MANUFACTURING	RESEARCH_VALIDATED	HIGH	https://www.effectsdatabase.com/model/unicord/fuzz	Unicord-marketed fuzz was built in Italy by Jen for North American distribution.
Jen Double Sound	late 1960s-1970s	JEN Elettronica	PHYSICAL_MANUFACTURER	RESEARCH_VALIDATED	HIGH	https://www.effectsdatabase.com/model/jen/doublesound	Jen Double Sound anchors the Jen-built fuzz/wah combination family.
Vox 9-3700 Stereo Fuzz-Wah	late 1960s-1970s	JEN Elettronica	OEM_MANUFACTURING	RESEARCH_VALIDATED	HIGH	https://www.effectsdatabase.com/model/jen/doublesound	Vox 9-3700 is grouped with Jen Double Sound and its marketed Thomas Organ counterpart in the documented Jen family.
Thomas Organ 9-3701 Cry Baby Stereo Fuzz-Wah	late 1960s-1970s	JEN Elettronica	MARKETED_OEM_STATE	RESEARCH_VALIDATED	MEDIUM	https://www.effectsdatabase.com/model/jen/doublesound	Keep Thomas Organ as marketed/catalog identity while preserving Jen as the documented builder relationship.
Dallas-Arbiter Fuzz Wah Face	early 1970s	JEN Elettronica	OEM_MANUFACTURING	RESEARCH_CANDIDATE	MEDIUM	https://www.effectsdatabase.com/model/jen/doublesound	Effects Database identifies some models as Jen-made; exact model-period assignment should remain qualified.
Greco Crier / Mr. Crier	early 1970s	JEN Elettronica	OEM_MANUFACTURING	RESEARCH_CANDIDATE	MEDIUM	https://www.effectsdatabase.com/model/jen/doublesound	Jen manufacture is reported for related Greco wah products; exact dirt-model mapping is not yet strong enough for public promotion.
JHS Triofex	vintage era	JEN Elettronica	OEM_MANUFACTURING	RESEARCH_CANDIDATE	MEDIUM	https://www.effectsdatabase.com/model/jen/doublesound	Listed within the Jen Double Sound relationship cluster; retain as research-only until model-specific source validation is stronger.
