entity	period_or_state	manufacturer_or_builder	relationship_type	status	confidence	primary_source	note
Vox V828 Tone Bender	initial Italian production	EME (Elettronica Musicale Europea)	ORIGINAL_ITALIAN_MANUFACTURER	RESEARCH_VALIDATED	HIGH	https://fuzzboxes.org/transitionaltonebender	V828 was initially manufactured in Italy by EME before production moved to JEN.
Vox V828 Tone Bender	later Italian production	JEN	MANUFACTURING_SWITCH	RESEARCH_VALIDATED	HIGH	https://fuzzboxes.org/transitionaltonebender	Production was later taken over by newly founded JEN; retain EME and JEN as separate period builders.
Vox V828 Tone Bender	Thomas Organ North American state	JEN	OEM_FOR_THOMAS_ORGAN	RESEARCH_VALIDATED	HIGH	https://www.voxshowroom.com/us/misc/v828.html	Vox Showroom identifies JEN as the Italian manufacturer for Thomas Organ-era V828 pedals.
Vox V8281 Tone Bender	late 1960s-early 1970s	JEN	OEM_MANUFACTURING	RESEARCH_VALIDATED	HIGH	https://www.effectsdatabase.com/model/vox/jen/tonebender	Keep V8281 as a distinct model while preserving JEN manufacture.
Jen Fuzz	post-Vox branded state	JEN	SUCCESSOR_MARKET_STATE	RESEARCH_VALIDATED	HIGH	https://www.effectsdatabase.com/model/jen/diecast/fuzz	Jen-branded Fuzz shares the Italian JEN design family after Vox-branded production.
Jen Tone Bender	post-Vox branded state	JEN	SUCCESSOR_MARKET_STATE	RESEARCH_VALIDATED	HIGH	https://www.effectsdatabase.com/model/jen/diecast/tonebender	Jen-branded Tone Bender remains a distinct marketed record despite shared JEN manufacture.
Luxor Fuzz	late 1960s	JEN	OEM_MARKETED_STATE	RESEARCH_VALIDATED	HIGH	https://www.effectsdatabase.com/model/luxor/fuzz	Luxor Fuzz is documented as JEN-built and part of the Italian Tone Bender-derived family.
Nova Tone Bender	late 1960s	JEN	OEM_MARKETED_STATE	RESEARCH_VALIDATED	HIGH	https://www.effectsdatabase.com/model/nova/tonebender	Nova-branded state remains separate from Jen and Vox records.
Unicord Fuzz	late 1960s	JEN	OEM_MARKETED_STATE	RESEARCH_VALIDATED	HIGH	https://www.effectsdatabase.com/model/unicord/fuzz	Unicord-branded Fuzz is documented as built in Italy by JEN; Unicord is not treated as physical builder.
Vox 9-3700 Fuzz-Wah	c.1970-1973	Thomas Organ, California	PHYSICAL_MANUFACTURER_EXCEPTION	RESEARCH_VALIDATED	HIGH	https://www.voxshowroom.com/us/misc/fuzzwah.html	Base-plate evidence identifies Thomas Organ, Sepulveda California; do not inherit JEN attribution from the broader Vox effects catalog.
Vox V829 Tone Bender	1994-1997	Korg/Vox-era production	REVIVAL_SUCCESSOR	RESEARCH_VALIDATED	HIGH	https://www.voxshowroom.com/us/misc/v829.html	V829 is a later Korg/Vox revival based on the V828 concept, not continuous vintage V828 production.
