canonical_entity	related_market_name	relationship	evidence_state	period	confidence	notes	ead_source
Shin-Ei	Honey FY-6 Baby Crying Fuzz	successor/brand-state within FY-6 lineage	VERIFIED_PRIMARY_PLUS	1967-1968	HIGH	Shin-Ei's current historical page states Honey released the FY-6 in 1967 and Shin-Ei branded the FY-6 in 1968. Preserve Honey and Shin-Ei as distinct marketed states within one product lineage.	https://www.shin-ei.com/Shin-ei/SHIN-EI-FY6-SUPER-FUZZ
Shin-Ei	Companion FY-6 Super Fuzz	marketed brand/product state	VERIFIED_SECONDARY	1960s-1970s	HIGH	Effects Database indexes Companion FY-6 separately within the Shin-Ei family; do not collapse the market name into the builder entity.	https://www.effectsdatabase.com/model/shinei/companion
Shin-Ei	Companion FY-2 Fuzz Box	marketed brand/product	VERIFIED_PRIMARY_PLUS_SECONDARY	1960s	HIGH	Current Shin-Ei identifies the FY-2 reproduction as a Shin-ei Companion product; historical product remains separate from FY-6.	https://shin-ei.com/COMPANION-FY2-FUZZ-BOX ; https://www.effectsdatabase.com/model/shinei/companion
Shin-Ei	WF-8 8-Tr Fuzz Wah	family member	VERIFIED_SECONDARY	1970s	HIGH	Effects Database identifies WF-8 as Shin-Ei Companion and gives a multi-brand related list including Alex, Altai, Avora, Boomer, Crestwood, Crown, Jax, Kent, Kimbara, Mana, Marlboro, Maya and Memphis.	https://www.effectsdatabase.com/model/shinei/companion/wf8
Shin-Ei	WF-24 8-Tr Fuzz Wah	family member	VERIFIED_SECONDARY	1970s	HIGH	Effects Database identifies the wide-format WF-24 as a Shin-Ei Companion family member and lists Boomer, Electra, Marlboro, Oscar, Thomas and WEM related states.	https://www.effectsdatabase.com/model/shinei/companion/wf24
Teisco	Ibanez Standard Fuzz No. 59	OEM/marketed-name relationship	VERIFIED_SECONDARY	early 1970s	HIGH	Effects Database groups this with the Teisco Fuzz Machine family and explicitly lists the Ibanez No. 59 market identity among the distributed names.	https://www.effectsdatabase.com/model/teisco/fuzzmachine
Teisco	Bruno Fuzz Machine	OEM/marketed-name relationship	VERIFIED_SECONDARY	early 1970s	HIGH	Same evidence family as Ibanez No.59, Mica, Marlboro Wailer, Antoria and Aria Diamond.	https://www.effectsdatabase.com/model/teisco/fuzzmachine
Teisco	Mica Fuzz	OEM/marketed-name relationship	VERIFIED_SECONDARY	early 1970s	HIGH	Retain as market name under the Standard Fuzz family rather than independent physical manufacturer.	https://www.effectsdatabase.com/model/teisco/fuzzmachine
Teisco	Marlboro Wailer Fuzz	OEM/marketed-name relationship	VERIFIED_SECONDARY	early 1970s	HIGH	Retain as market name; avoid counting as a separate builder unless evidence identifies a distinct physical product.	https://www.effectsdatabase.com/model/teisco/fuzzmachine
Teisco	Antoria Fuzz Machine	OEM/marketed-name relationship	VERIFIED_SECONDARY	early 1970s	HIGH	Antoria page places it in the Ibanez Standard Fuzz OEM family.	https://www.effectsdatabase.com/model/antoria/fuzzmachine
Teisco	Aria Diamond Fuzz	OEM/marketed-name relationship	VERIFIED_SECONDARY	early 1970s	HIGH	Antoria and Teisco family records connect Aria Diamond to the same marketed/OEM group.	https://www.effectsdatabase.com/model/antoria/fuzzmachine
JEN Elettronica	Jen Fuzz	manufacturer/house-brand relationship	VERIFIED_SECONDARY	late 1960s	HIGH	Effects Database identifies Jen Fuzz as built in Italy by Jen Pescara and tied to Vox V828/V8281, with later Jen, Elka, Luxor, Nova and Unicord market names.	https://www.effectsdatabase.com/model/jen/diecast/fuzz
JEN Elettronica	Unicord Fuzz	OEM/distributor market relationship	VERIFIED_SECONDARY	late 1960s	HIGH	Effects Database identifies Unicord Fuzz as a Jen-built Italian pedal for the North American market.	https://www.effectsdatabase.com/model/unicord/fuzz
JEN Elettronica	Elka Fuzz	OEM/marketed-name relationship	VERIFIED_SECONDARY	late 1960s	HIGH	Effects Database identifies Elka Fuzz as a Jen-built Italian product within the V828/V8281-derived family.	https://www.effectsdatabase.com/model/elka/fuzz
Coron Musical Instrument Co.	Coron Distortion	physical builder / house brand	VERIFIED_SECONDARY	late 1970s-early 1980s	HIGH	Coron Distortion is a Japanese-made product and the family also appears under multiple OEM names.	https://www.effectsdatabase.com/model/coron/first/distortion
Coron Musical Instrument Co.	KMD Distortion	OEM/marketed-name relationship	VERIFIED_SECONDARY	1970s-early 1980s	HIGH	Effects Database explicitly identifies KMD Distortion as KMD by Coron and lists Coron, Grant, Storm, Asama and Memphis market names.
https://www.effectsdatabase.com/model/kmd/coron/distortion
