record_id	marketed_identity	model_or_family	country	period	physical_builder_candidate	relationship_type	confidence	status	evidence_summary	source_1	source_2
US-LIMMCO-051	LIMMCO	company / distribution network	USA	mid-1960s-1970s	LIMMCO / Long Island Musical Merchandise Co.	distribution / house-brand network	HIGH	RESEARCH_VALIDATED	Tone Machines identifies LIMMCO as a Hicksville New York distribution and wholesale company and describes Bob Seidman as a central connection among Applied, Nomad, Kimberly, UMI, Guild, Goya and related brands. A 1968 Billboard/NAMM listing independently places Limmco, Inc. among music-industry exhibitors.	https://www.tonemachinesblog.com/2024/09/limmco-owner-bob-seidman-interview.html	https://www.worldradiohistory.com/Archive-All-Music/Billboard/60s/1968/Billboard%201968-06-01.pdf
US-LIMMCO-052	Kimberly	Buzz Box and Volume Expander	USA	fall 1966-1967	LIMMCO initial build; later third parties	period production sequence	HIGH	RESEARCH_VALIDATED	Bob Seidman account reported by Tone Machines says Kimberly initially was made in the LIMMCO warehouse, then outside production was hired because in-house manufacture consumed too many resources. A May 1967 Music Trades advertisement is cited as a New Improved Circuit Design transition marker, but the surviving online source does not independently identify the intermediate factory by name.	https://www.tonemachinesblog.com/2025/09/	https://www.effectsdatabase.com/model/kimberly/fuzzbox
US-LIMMCO-053	Kimberly	Buzz Box and Volume Expander v2	USA	1967 onward	Applied Audio Products, Inc.	OEM / production state	MEDIUM	RESEARCH_ONLY	Effects Database explicitly lists a Kimberly Fuzz Box and Volume Expander v1 by LIMMCO and v2 by Applied. Tone Machines independently places Applied as the likely interim builder between LIMMCO and later UMI production, while noting this remains a reconstruction rather than a fully primary-source-proven factory contract.	https://www.effectsdatabase.com/model/kimberly/fuzzbox	https://www.tonemachinesblog.com/2025/09/applied-fuzz-and-treble-booster-ft-100.html
US-LIMMCO-054	Kimberly	Buzz Box and Volume Expander later state	USA	late 1960s-early 1970s	UMI / United Musical Industries	OEM / later production state	HIGH	RESEARCH_VALIDATED	Effects Database relates Apollo No. 843 and Conrad Buzz Box & Volume Expander as UMI products derived from the Kimberly line. Tone Machines reports that UMI later produced the Kimberly-derived pedals through the end of the run. The exact handoff date remains open.	https://www.effectsdatabase.com/model/umi/buzztone	https://www.tonemachinesblog.com/2025/09/
US-LIMMCO-055	Nomad	Banshee Fuzz	USA	circa 1968 onward	Applied Audio Products, Inc.	OEM / house-brand state	MEDIUM	RESEARCH_ONLY	Tone Machines states the Nomad Banshee Fuzz was made by Applied Audio and distributed by LIMMCO, while also noting that manufacturing dates remain unknown. Nomad therefore supplies a clear example of a LIMMCO house brand crossing into a specific third-party factory relationship.	https://www.tonemachinesblog.com/2024/06/nomad-super-fuzz-rite.html	https://www.tonemachinesblog.com/2025/09/applied-fuzz-and-treble-booster-ft-100.html
US-LIMMCO-056	Nomad	Rogue Fuzz	USA	late 1960s-early 1970s	Applied Audio Products, Inc.	OEM / house-brand state	MEDIUM	RESEARCH_ONLY	Tone Machines states the Nomad Rogue Fuzz was made by Applied Audio and followed the Banshee Fuzz, with an additional gain stage. The production date remains unresolved, so the model should not be used as a firm chronological anchor without further period evidence.	https://www.tonemachinesblog.com/2024/06/nomad-super-fuzz-rite.html	https://www.tonemachinesblog.com/2025/09/applied-fuzz-and-treble-booster-ft-100.html
US-LIMMCO-057	Nomad	Super Fuzz	USA	claimed 1966-1967	unknown	unresolved OEM / marketed state	LOW	HOLD_FOR_REVIEW	Effects Database and Tone Machines describe the rare Nomad Super Fuzz as an apparent OEM version of the early germanium Mosrite Fuzzrite circuit, but neither source establishes a direct Mosrite-Nomad transaction or an Applied build. The product therefore remains isolated from the later Applied Nomad family.	https://www.effectsdatabase.com/model/nomad/superfuzz	https://www.tonemachinesblog.com/2024/06/nomad-super-fuzz-rite.html
US-LIMMCO-058	Nomad	Tone Booster	USA	late 1960s-early 1970s	UMI / United Musical Industries	OEM / marketed-label state	MEDIUM	RESEARCH_ONLY	Effects Database catalogs a Nomad Tone Booster as Nomad by UMI. This supports a UMI relationship for this specific product state, but does not justify assigning the wider Nomad brand to UMI manufacture.	https://www.effectsdatabase.com/type/boost/bass	https://www.effectsdatabase.com/type/boost/treble
US-LIMMCO-059	Gracin's	Fubar	USA	late 1960s	unknown East Coast builder	marketed state / family association	LOW	HOLD_FOR_REVIEW	Tone Machines places Gracin's Fubar in the East Coast Fuzz family, but current evidence does not identify a factory. This record must remain separate from UMI's documented amplifier relationship with Gracin's Music and from Foxx-made Gracin's & Towne effects.	https://www.tonemachinesblog.com/2024/11/mystery-of-east-coast-fuzz.html	https://www.effectsdatabase.com/model/mgi/fuzz
US-LIMMCO-060	Gracin's & Towne	Wa & Volume	USA	1970s	fOXX / Foxx	OEM / marketed-label state	HIGH	RESEARCH_VALIDATED	Effects Database explicitly identifies the Gracin's & Towne Wa & Volume as made by Foxx/fOXX. This is a concrete cross-supplier example under the Gracin's name and blocks any attempt to infer one factory from the label alone.	https://www.effectsdatabase.com/model/foxx/wavolumemachine	https://www.effectsdatabase.com/model/foxx/fuzzwa
US-LIMMCO-061	Goya	Panther Box	USA	late 1960s	Applied Audio Products, Inc. candidate	OEM / marketed-label state	HIGH	RESEARCH_VALIDATED	Tone Machines presents the Goya Panther Box as an Applied Audio product and ties the Goya relationship to Applied-era manufacturing. The chronology and exact contract dates remain incomplete, so the record is retained as research-validated rather than public-lineage promotion.	https://www.tonemachinesblog.com/2025/09/applied-fuzz-and-treble-booster-ft-100.html	https://www.tonemachinesblog.com/2025/09/
