pedal_id	image_role	source_page_url	direct_image_url	creator_or_photographer	source_site	rights_status	license_or_permission_reference	required_credit	public_use_decision	research_date	notes
DISC-3814	front	https://www.effectsdatabase.com/model/shinei		Effects Database / source imagery	Effects Database	Reference-only		Per source page	research reference only	2026-09-14	Shin-Ei Uni-Fuzz builder/product visual lead.
DISC-3819	front	https://www.effectsdatabase.com/model/shinei		Effects Database / source imagery	Effects Database	Reference-only		Per source page	research reference only	2026-09-14	WF-24 Fuzz Wah visual lead.
DISC-3835	front	https://reverb.com/item/63956034-guyatone-fuzz-2000-pedal-fz-2000-mij-japan-exclusive		Reverb seller	Reverb	Reference-only		Seller/photographer to verify	Do not republish pending permission	2026-09-14	Guyatone FZ-2000 clear front specimen.
DISC-3841	front	https://www.effectsdatabase.com/model/guyatone		Effects Database / source imagery	Effects Database	Reference-only		Per source page	research reference only	2026-09-14	Guyatone TD-1 tube distortion catalog lead.
DISC-3851	front	https://www.effectsdatabase.com/model/jen		Effects Database / source imagery	Effects Database	Reference-only		Per source page	research reference only	2026-09-14	Jen FZ-III fuzz visual lead.
DISC-3847	front	https://www.effectsdatabase.com/model/jen		Effects Database / source imagery	Effects Database	Reference-only		Per source page	research reference only	2026-09-14	Jen Cosmic Sound visual/catalog lead.
DISC-3876	front	https://www.effectsdatabase.com/model/univox		Effects Database / source imagery	Effects Database	Reference-only		Per source page	research reference only	2026-09-14	Univox U-1095 Super-Fuzz visual lead.
DISC-3877	front	https://www.effectsdatabase.com/model/univox/unifuzz		Effects Database / source imagery	Effects Database	Reference-only		Per source page	research reference only	2026-09-14	Univox U-250 Uni-Fuzz visual lead with video references.
DISC-3860	front	https://www.effectsdatabase.com/model/univox/fuzzwavolume		Effects Database / source imagery	Effects Database	Reference-only		Per source page	research reference only	2026-09-14	OEM lineage specimen for Univox/Foxx Fuzz Wah Volume.
DISC-3888	front	https://www.effectsdatabase.com/model/maxon		Effects Database / source imagery	Effects Database	Reference-only		Per source page	research reference only	2026-09-14	Maxon booster-family visual lead.
DISC-3891	front	https://www.effectsdatabase.com/model/maxon		Effects Database / source imagery	Effects Database	Reference-only		Per source page	research reference only	2026-09-14	Maxon MB-40 historical distortion booster lead.
DISC-3893	front	https://www.effectsdatabase.com/model/maxon		Effects Database / source imagery	Effects Database	Reference-only		Per source page	research reference only	2026-09-14	Maxon UE-300 historical multi-effect visual lead.
