builder	region	era	product	category	status	source
Electronic Audio Experiments	USA	2017-2026	Dagger	overdrive	INDEXED	https://www.effectsdatabase.com/model/electronicaudioexperiments
Electronic Audio Experiments	USA	2017-2026	Dude Incredible	fuzz	INDEXED	https://www.effectsdatabase.com/model/electronicaudioexperiments
Electronic Audio Experiments	USA	2017-2026	Glaive	overdrive	INDEXED	https://www.effectsdatabase.com/model/electronicaudioexperiments
Electronic Audio Experiments	USA	2017-2026	Greathammer	bass drive	INDEXED	https://www.effectsdatabase.com/model/electronicaudioexperiments
Electronic Audio Experiments	USA	2017-2026	Halberd	overdrive	INDEXED	https://www.effectsdatabase.com/model/electronicaudioexperiments
Electronic Audio Experiments	USA	2017-2026	Limelight	dual overdrive	INDEXED	https://www.effectsdatabase.com/model/electronicaudioexperiments
Electronic Audio Experiments	USA	2017-2026	Longsword	overdrive/distortion	INDEXED	https://www.effectsdatabase.com/model/electronicaudioexperiments
Electronic Audio Experiments	USA	2017-2026	Surveyor	distortion	INDEXED	https://www.effectsdatabase.com/model/electronicaudioexperiments
Electronic Audio Experiments	USA	2017-2026	The Bard	overdrive	INDEXED	https://www.effectsdatabase.com/model/electronicaudioexperiments
Electronic Audio Experiments x Mask Audio Electronics	USA	2019-2026	Eldritch Blast	fuzz	INDEXED_COLLABORATION	https://www.effectsdatabase.com/model/electronicaudioexperiments
Fairfield Circuitry	Canada	2010s-2026	Barbershop	overdrive	INDEXED	https://www.effectsdatabase.com/model/fairfield
Fairfield Circuitry	Canada	2010s-2026	Four Eyes Fuzz	fuzz	INDEXED	https://www.effectsdatabase.com/model/fairfield
Fairfield Circuitry	Canada	2010s-2026	Modèle B	overdrive	INDEXED	https://www.effectsdatabase.com/model/fairfield/modeleb
Fairfield Circuitry	Canada	2010s-2026	The Unpleasant Surprise	fuzz/distortion	INDEXED	https://www.effectsdatabase.com/model/fairfield
Fairfield Circuitry	Canada	2023-2026	~900	fuzz	INDEXED	https://www.effectsdatabase.com/model/fairfield/900
Old Blood Noise Endeavors	USA	2010s-2026	Alpha Haunt	fuzz	INDEXED	https://www.effectsdatabase.com/model/oldbloodnoise
Old Blood Noise Endeavors	USA	2010s-2026	Beam Splitter	triple-tracker distortion	INDEXED	https://www.effectsdatabase.com/model/oldbloodnoise
Old Blood Noise Endeavors	USA	2010s-2026	Excess	distortion/modulation	INDEXED	https://www.effectsdatabase.com/model/oldbloodnoise
Old Blood Noise Endeavors	USA	2010s-2026	Excess v2	distortion/modulation	INDEXED_VARIANT	https://www.effectsdatabase.com/model/oldbloodnoise
Old Blood Noise Endeavors	USA	2010s-2026	Fault	overdrive/distortion	INDEXED	https://www.effectsdatabase.com/model/oldbloodnoise
Old Blood Noise Endeavors	USA	2010s-2026	Fault v2	overdrive/distortion	INDEXED_VARIANT	https://www.effectsdatabase.com/model/oldbloodnoise
Old Blood Noise Endeavors	USA	2010s-2026	Haunt	fuzz	INDEXED	https://www.effectsdatabase.com/model/oldbloodnoise
Old Blood Noise Endeavors	USA	2010s-2026	Pardner Fuzz	fuzz	INDEXED	https://www.effectsdatabase.com/model/oldbloodnoise
KMA Audio Machines	Germany	2010s-2026	Chief Disrupter	fuzz/distortion	INDEXED	https://www.effectsdatabase.com/model/kma
KMA Audio Machines	Germany	2010s-2026	Dead Stag	dirt	INDEXED	https://www.effectsdatabase.com/model/kma
KMA Audio Machines	Germany	2010s-2026	Fuzzly Bear	fuzz	INDEXED	https://www.effectsdatabase.com/model/kma
KMA Audio Machines	Germany	2010s-2026	Guardian of the Wurm	distortion	INDEXED	https://www.effectsdatabase.com/model/kma
KMA Audio Machines	Germany	2010s-2026	Logan	transcend drive	INDEXED	https://www.effectsdatabase.com/model/kma
KMA Audio Machines	Germany	2010s-2026	Minos	germanium fuzz	INDEXED	https://www.effectsdatabase.com/model/kma
KMA Audio Machines	Germany	2010s-2026	Wurhm	limited HM distortion	INDEXED_LIMITED	https://www.effectsdatabase.com/model/kma
KMA Audio Machines	Germany	2010s-2026	Wurm	distortion	INDEXED	https://www.effectsdatabase.com/model/kma
Rainger FX	United Kingdom	2009-2026	Bleep Fuzz	fuzz	INDEXED	https://www.effectsdatabase.com/model/rainger
Rainger FX	United Kingdom	2009-2026	Break Box	distortion	INDEXED	https://www.effectsdatabase.com/model/rainger
Rainger FX	United Kingdom	2009-2026	Dr. Freakenstein	fuzz	INDEXED	https://www.effectsdatabase.com/model/rainger
Rainger FX	United Kingdom	2009-2026	Dr. Freakenstein Bass	bass fuzz	INDEXED	https://www.effectsdatabase.com/model/rainger
Rainger FX	United Kingdom	2009-2026	Dr. Freakenstein Chop Fuzzz	fuzz	INDEXED	https://www.effectsdatabase.com/model/rainger
Rainger FX	United Kingdom	2009-2026	Dr. Freakenstein Dwarf Bass	bass fuzz	INDEXED	https://www.effectsdatabase.com/model/rainger
Rainger FX	United Kingdom	2009-2026	El Distorto	distortion	INDEXED	https://www.effectsdatabase.com/model/rainger
Rainger FX	United Kingdom	2009-2026	Freakbass Alpha	bass dirt	INDEXED	https://www.effectsdatabase.com/model/rainger
Rainger FX	United Kingdom	2009-2026	Pull Focus	gated distortion/hybrid	INDEXED	https://www.effectsdatabase.com/model/rainger
Rainger FX	United Kingdom	2009-2026	Razor Fuzz	fuzz	INDEXED	https://www.effectsdatabase.com/model/rainger
Caroline Guitar Company	USA	2010-2026	Aaron Graves Overdrive	overdrive	INDEXED	https://www.effectsdatabase.com/model/caroline
Caroline Guitar Company	USA	2010-2026	Alpha Gain	od/distortion	INDEXED	https://www.effectsdatabase.com/model/caroline
Caroline Guitar Company	USA	2010-2026	Alpha Gain II	distortion	INDEXED	https://www.effectsdatabase.com/model/caroline
Caroline Guitar Company	USA	2010-2026	Crom	distortion	INDEXED	https://www.effectsdatabase.com/model/caroline
