discovery_date	builder	region	product	category	evidence_state	source
2026-01-05	AGR Pedals	unknown	Cuervo Muerto	fuzz	NEW_BRAND_2026	https://www.effectsdatabase.com/updates/weekly/20260105
2026-01-05	AGR Pedals	unknown	DS2610	distortion	NEW_BRAND_2026	https://www.effectsdatabase.com/updates/weekly/20260105
2026-01-05	AGR Pedals	unknown	FZR912	fuzz	NEW_BRAND_2026	https://www.effectsdatabase.com/updates/weekly/20260105
2026-01-05	AGR Pedals	unknown	OD85	overdrive	NEW_BRAND_2026	https://www.effectsdatabase.com/updates/weekly/20260105
2026-01-26	AmpMojo	unknown	Sol Drive	overdrive	NEW_BRAND_2026	https://www.effectsdatabase.com/updates/weekly/20260126
2026-01-26	Bixonic	Japan	Axentrix A1	unknown/dirt	CURRENT_DISCOVERY	https://www.effectsdatabase.com/updates/weekly/20260126
2026-01-26	Bixonic	Japan	Axentrix II	unknown/dirt	CURRENT_DISCOVERY	https://www.effectsdatabase.com/updates/weekly/20260126
2026-01-26	Bixonic	Japan	EXP2000DR Clean & Drive	overdrive	CURRENT_DISCOVERY	https://www.effectsdatabase.com/updates/weekly/20260126
2026-01-26	Crazy Tube Circuits	Greece	Triptychon	octave fuzz/drive/boost	CURRENT_DISCOVERY	https://www.effectsdatabase.com/updates/weekly/20260126
2026-01-26	Donner x MIYAVI	China/Global	Rage Breaker	boost/fuzz/overdrive	COLLABORATION	https://www.effectsdatabase.com/updates/weekly/20260126
2026-01-26	Joyo	China	R-25 Hot Witch	fuzz	CURRENT_DISCOVERY	https://www.effectsdatabase.com/updates/weekly/20260126
2026-01-26	Lerxst	Canada	Snow Dog	octave fuzz	CURRENT_DISCOVERY	https://www.effectsdatabase.com/updates/weekly/20260126
2026-01-26	Mad Professor	Finland	Super Black Mini	preamp/overdrive	CURRENT_DISCOVERY	https://www.effectsdatabase.com/updates/weekly/20260126
2026-01-26	MXR	USA	EVH-MHG	modern high gain	CURRENT_DISCOVERY	https://www.effectsdatabase.com/updates/weekly/20260126
2026-01-26	Shnobel Tone	USA	Dumbbell Driver	drive	CURRENT_DISCOVERY	https://www.effectsdatabase.com/updates/weekly/20260126
2026-01-26	Suhr	USA	Thornicus	fuzz	SIGNATURE_CURRENT	https://www.effectsdatabase.com/updates/weekly/20260126
2026-01-26	Warm Audio	USA	WA-FLF Fluff Drive	overdrive	SIGNATURE_CURRENT	https://www.effectsdatabase.com/updates/weekly/20260126
2026-01-26	Way Huge	USA	WHE407 Swollen Pickle XXX	fuzz	LIMITED_CURRENT	https://www.effectsdatabase.com/updates/weekly/20260126
2026-02-02	Fieldfare Audio	unknown	Sun Prophet	distortion	NEW_DISCOVERY	https://www.effectsdatabase.com/updates/weekly/20260202
2026-02-02	Fieldfare Audio	unknown	Thrive	fuzz	NEW_DISCOVERY	https://www.effectsdatabase.com/updates/weekly/20260202
2026-02-02	Klowra	unknown	Gnash	analog distortion	NEW_DISCOVERY	https://www.effectsdatabase.com/updates/weekly/20260202
2026-02-02	Non-Human Audio	unknown	Unclean	cascading distortion	NEW_DISCOVERY	https://www.effectsdatabase.com/updates/weekly/20260202
2026-02-02	Spiral Electric FX	USA	Starbird Fuzzstortion	fuzz/distortion	NEW_DISCOVERY	https://www.effectsdatabase.com/updates/weekly/20260202
2026-02-02	Twilight Pulse Audioworks	unknown	Proxima	MOSFET overdrive/fuzz	NEW_DISCOVERY	https://www.effectsdatabase.com/updates/weekly/20260202
2026-02-02	Sonicake	China	King of Twins	dual overdrive	CURRENT_DISCOVERY	https://www.effectsdatabase.com/updates/weekly/20260202
2026-02-23	AceTone Electronics	unknown	unknown	unknown	NEW_BRAND_2026	https://www.effectsdatabase.com/updates/weekly/20260223
2026-02-23	Chroma Audio Devices	unknown	unknown	unknown	NEW_BRAND_2026	https://www.effectsdatabase.com/updates/weekly/20260223
2026-02-23	HTJ-Works	unknown	unknown	unknown	NEW_BRAND_2026	https://www.effectsdatabase.com/updates/weekly/20260223
2026-02-23	Momonga Effects	unknown	unknown	unknown	NEW_BRAND_2026	https://www.effectsdatabase.com/updates/weekly/20260223
2026-02-23	Riff Pedal Co.	unknown	unknown	unknown	NEW_BRAND_2026	https://www.effectsdatabase.com/updates/weekly/20260223
2026-02-23	ROMA Devices	unknown	unknown	unknown	NEW_BRAND_2026	https://www.effectsdatabase.com/updates/weekly/20260223
2026-02-23	Sara Pedals	unknown	unknown	unknown	NEW_BRAND_2026	https://www.effectsdatabase.com/updates/weekly/20260223
2026-02-23	Sonulab	unknown	unknown	unknown	NEW_BRAND_2026	https://www.effectsdatabase.com/updates/weekly/20260223
2026-02-23	Tonephonic Pedals	unknown	unknown	unknown	NEW_BRAND_2026	https://www.effectsdatabase.com/updates/weekly/20260223
2026-02-23	Varies Effect	unknown	unknown	unknown	NEW_BRAND_2026	https://www.effectsdatabase.com/updates/weekly/20260223
2026-02-23	WA & Co.	unknown	unknown	unknown	NEW_BRAND_2026	https://www.effectsdatabase.com/updates/weekly/20260223
2026-02-23	Zyrograph	unknown	unknown	unknown	NEW_BRAND_2026	https://www.effectsdatabase.com/updates/weekly/20260223
