DISC-0091	Buzzing Bugs Audio Devices	BB01 Fuzz Pre-Amp	2023-present	Fuzz/drive	First full production model; hybrid transistor/op-amp; three controls; top jacks	Official builder page + 2023 review	VERIFIED	https://buzzingbugsfx.com/store/p/bb01-fuzz-pre-amp
DISC-0092	Buzzing Bugs Audio Devices	BB02 Percolator Fuzz	2023-present	Fuzz	Silicon-transistor Harmonic Percolator interpretation; two interacting controls; top jacks	Official builder page	VERIFIED	https://buzzingbugsfx.com/store/p/bb02-percolator-fuzz
DISC-0093	Bulinski Pedals	Filth Foundry	Modern	Fuzz/distortion	Silicon-transistor Fuzz Factory interpretation; five-control oscillating/velcro range	Official builder page	VERIFIED	https://bulinskipedals.com/shop/filth-foundry-guitar-fuzz/
DISC-0094	1981 Inventions	LVL	2023	Boost/drive	2023 release; low-profile LVL family candidate for product-family mapping	Effects Database/Guitar.com discovery	DISCOVERY	
DISC-0095	Asheville Guitar Pedals	308 Distortion	2023	Distortion	New builder/product census candidate	Effects Database	DISCOVERY	
DISC-0096	Asheville Guitar Pedals	Fuzz Driver	2023	Fuzz/drive	New builder/product census candidate	Effects Database	DISCOVERY	
DISC-0097	Azor	AP-501 Cattle Fuzz	2023	Fuzz	AP-series compact product candidate	Effects Database	DISCOVERY	
DISC-0098	Azor	AP-502 Tiger Overdrive	2023	Overdrive	AP-series compact product candidate	Effects Database	DISCOVERY	
DISC-0099	Azor	AP-503 Monkey Leon Drive	2023	Overdrive	AP-series compact product candidate	Effects Database	DISCOVERY	
DISC-0100	Azor	AP-506 Snake Distortion	2023	Distortion	AP-series compact product candidate	Effects Database	DISCOVERY	
DISC-0101	Ashdown Engineering	Geezer Butler Pedal Of Doom	2023	Distortion	Bass-oriented distortion product candidate	Effects Database	DISCOVERY	
DISC-0102	Ashdown Engineering	JM John Myung Double Drive	2023	Overdrive/distortion	Bass-oriented dual-drive product candidate	Effects Database	DISCOVERY	
DISC-0103	Aguilar	Storm King	2023	Bass distortion/fuzz	Micro Bass Distortion/Fuzz; modern bass dirt record	Effects Database	DISCOVERY	
DISC-0104	Axiom Effects	DP-1 Distortion Preamp	2023	Distortion	Compact preamp/distortion product candidate	Effects Database	DISCOVERY	
DISC-0105	Axiom Effects	FP-1 Fuzz Preamp	2023	Fuzz	Compact preamp/fuzz product candidate	Effects Database	DISCOVERY	
DISC-0106	Axiom Effects	OP-1 Overdrive Preamp	2023	Overdrive	Compact preamp/overdrive product candidate	Effects Database	DISCOVERY	
DISC-0107	Blue Colander Stompboxes	2023 dirt products	2023	OD/distortion/fuzz	New-brand census lead; products require product-level verification	Effects Database	DISCOVERY	
DISC-0108	Black Bobbin	2023 dirt products	2023	OD/distortion/fuzz	New-brand census lead; products require product-level verification	Effects Database	DISCOVERY	
DISC-0109	Black Mountain	2023 dirt products	2023	OD/distortion/fuzz	New-brand census lead; products require product-level verification	Effects Database	DISCOVERY	
DISC-0110	Rockready	2023 dirt products	2023	OD/distortion/fuzz	New-brand census lead; products require product-level verification	Effects Database	DISCOVERY	
