entity	period_or_state	manufacturer_or_builder	relationship_type	status	confidence	primary_source	note
Marshall SupaFuzz	1966-Aug 1968	Sola Sound	OEM_SUPPLY	RESEARCH_VALIDATED	HIGH	https://fuzzboxes.org/marshallsupafuzz	Fuzzboxes documents Sola Sound-supplied production followed by Marshall takeover in 1968.
Marshall SupaFuzz	Aug 1968-early 1970s	Marshall	MANUFACTURING_SWITCH	RESEARCH_VALIDATED	HIGH	https://fuzzboxes.org/marshallsupafuzz	Marshall manufactured the later period while retaining the branded model identity.
John Hornby Skewes Zonk II	1967-1968	Sola Sound	OEM_SUPPLY	RESEARCH_VALIDATED	HIGH	https://fuzzboxes.org/zonkii	Some early Zonk II examples were supplied by Sola Sound; later construction differs.
John Hornby Skewes Zonk II	c.1969	Unresolved alternate builder	TRANSITIONAL_STATE	RESEARCH_CANDIDATE	MEDIUM	https://fuzzboxes.org/zonkii	Silicon stripboard transitional examples require a named-builder resolution before promotion.
John Hornby Skewes Zonk II	1969-early/mid 1970s	Wilsic Sound	OEM_SUPPLY	RESEARCH_VALIDATED	HIGH	https://fuzzboxes.org/zonkii	Later folded-aluminium examples identify Wilsic Sound as builder.
WEM Rush Pep Box	1965-1966	Rush / WEM partnership	PARTNERSHIP_MANUFACTURE	RESEARCH_VALIDATED	HIGH	https://fuzzboxes.org/pepbox	WEM marketed the Pep Box while Pepe Rush remained involved.
WEM Rush Pep Box	mid-1960s onward	WEM	MANUFACTURING_SWITCH	RESEARCH_VALIDATED	HIGH	https://fuzzboxes.org/pepbox	WEM later took over production; the long-red enclosure marks the major physical transition.
Carlsbro Fuzz-Tone	1966 blue wedge period	Carlsbro / early builder unresolved	ORIGINAL_EARLY_STATE	RESEARCH_CANDIDATE	MEDIUM	https://fuzzboxes.org/carlsbrofuzztone	A distinct 1966 wedge-shaped Carlsbro Fuzz-Tone predates the documented later Sola Sound-supplied model.
Carlsbro Fuzz-Tone	early 1970s-1976+	Sola Sound	OEM_SUPPLY	RESEARCH_VALIDATED	HIGH	https://fuzzboxes.org/carlsbrofuzztone	Later three-knob Carlsbro fuzz was supplied by Sola Sound and documented to at least 1976.
Park Fuzz Sound	late 1960s-mid 1970s	Sola Sound	OEM_SUPPLY	RESEARCH_VALIDATED	HIGH	https://fuzzboxes.org/parkfuzzsound	Park was a Marshall-launched brand; surviving Fuzz Sound examples are documented as Sola Sound products.
Rangemaster Fuzzbug	1966	Sola Sound	OEM_SUPPLY	RESEARCH_VALIDATED	HIGH	https://fuzzboxes.org/fuzzbug	Dallas-branded Fuzzbugs were supplied by Sola Sound and used evolving Sola Sound fuzz states.
