builder	product	category	light_info	source	photo_source	collection_status
EC Pedals	Angry Ape	Fuzz	Gate-controlled bass fuzz.	https://www.effectsdatabase.com/model/ecpedals	https://www.effectsdatabase.com/model/ecpedals	FOUND
EC Pedals	Michael Benson signature FuzzDriver	Fuzz/Overdrive	Signature fuzz/drive pedal associated with Michael Benson.	https://www.effectsdatabase.com/model/ecpedals	https://www.effectsdatabase.com/model/ecpedals	FOUND
EC Pedals	Muff's Head	Fuzz	Muff-style fuzz pedal.	https://www.effectsdatabase.com/model/ecpedals	https://www.effectsdatabase.com/model/ecpedals	FOUND
EC Pedals	Murinae	Overdrive	Drive pedal in the EC Pedals catalog.	https://www.effectsdatabase.com/model/ecpedals	https://www.effectsdatabase.com/model/ecpedals	FOUND
EC Pedals	Overlord	Overdrive	Sweet overdrive voiced for responsive drive tones.	https://www.effectsdatabase.com/model/ecpedals	https://www.effectsdatabase.com/model/ecpedals	FOUND
EC Pedals	Overlord Bass Overdrive	Overdrive	Bass-oriented overdrive from EC Pedals.	https://www.effectsdatabase.com/model/ecpedals	https://www.effectsdatabase.com/model/ecpedals	FOUND
EC Pedals	Primestortion	Distortion	Distortion pedal in the EC Pedals catalog.	https://www.effectsdatabase.com/model/ecpedals	https://www.effectsdatabase.com/model/ecpedals	FOUND
EC Pedals	Rusty Cooley Overdrive	Overdrive	Artist-associated overdrive created for guitarist Rusty Cooley.	https://www.effectsdatabase.com/model/ecpedals	https://www.effectsdatabase.com/model/ecpedals	FOUND
EC Pedals	Zombie Distortion	Distortion	High-gain distortion pedal in the EC Pedals catalog.	https://www.effectsdatabase.com/model/ecpedals	https://www.effectsdatabase.com/model/ecpedals	FOUND
Effects Pedal Boutique	Athana Signature Overdrive	Overdrive	Signature overdrive pedal.	https://www.effectsdatabase.com/model/effectspedalboutique	https://www.effectsdatabase.com/model/effectspedalboutique	FOUND
Effects Pedal Boutique	Bluzking	Overdrive	Boutique overdrive voiced in the builder's gain catalog.	https://www.effectsdatabase.com/model/effectspedalboutique	https://www.effectsdatabase.com/model/effectspedalboutique	FOUND
Effects Pedal Boutique	Forrest Lee Jr. Double Overdrive	Overdrive	Dual overdrive pedal for stacked drive sounds.	https://www.effectsdatabase.com/model/effectspedalboutique	https://www.effectsdatabase.com/model/effectspedalboutique	FOUND
Effects Pedal Boutique	MIB Distortion Pro	Distortion	Distortion pedal from Effects Pedal Boutique.	https://www.effectsdatabase.com/model/effectspedalboutique	https://www.effectsdatabase.com/model/effectspedalboutique	FOUND
Effects Pedal Boutique	SRB-808	Overdrive	808-style overdrive pedal.	https://www.effectsdatabase.com/model/effectspedalboutique	https://www.effectsdatabase.com/model/effectspedalboutique	FOUND
Bob Burt Cabinets & Pedals	Overdrive	Overdrive	Handbuilt boutique overdrive emphasizing transparency, dynamics, low-end weight and flexible tone shaping.	https://www.effectsdatabase.com/model/bobburt/overdrive	https://www.effectsdatabase.com/model/bobburt/overdrive	FOUND
Bob Burt Cabinets & Pedals	AH-1 Allen Hinds Signature Distortion	Overdrive/Distortion	Touch-sensitive drive moving from open, uncompressed overdrive to compressed higher-gain distortion.	https://www.effectsdatabase.com/model/bobburt/ah1	https://www.effectsdatabase.com/model/bobburt/ah1	FOUND
Deep Trip	BOG	Fuzz/Overdrive	Versatile silicon fuzz that also covers boost, overdrive and distortion; voiced for dynamic cleanup and pronounced low-mid character.	https://www.effectsdatabase.com/model/deeptrip/bog	https://www.effectsdatabase.com/model/deeptrip/bog	FOUND
ProAnalog Devices	MKIV Vintage	Fuzz/Overdrive	Germanium-silicon fuzz/drive aimed at traditional 1960s-style response, ranging from warm boost through crunch to high-gain fuzz.	https://www.effectsdatabase.com/model/proanalog/mkiv	https://www.effectsdatabase.com/model/proanalog/mkiv	FOUND
ProAnalog Devices	MKIV Modern	Fuzz/Overdrive	All-silicon fuzz/drive aimed at a more modern overdrive feel, with a range from boost through distortion and fuzz.	https://www.effectsdatabase.com/model/proanalog/mkiv	https://www.effectsdatabase.com/model/proanalog/mkiv	FOUND
AXiom Effects	FP-1 Fuzz Preamp	Fuzz/Overdrive	Fuzz preamp combining classic transistor fuzz with amp-like overdrive, variable fuzz, gain, bass and mid response.	https://www.effectsdatabase.com/model/axiom/fp1	https://www.effectsdatabase.com/model/axiom/fp1	FOUND
1981 Inventions	LVL	Overdrive	Professional low-gain full-range overdrive using a distinct circuit with light clipping and op-amp drive; designed for stacking and bass as well as guitar.	https://www.effectsdatabase.com/model/1981inventions/lvl	https://www.effectsdatabase.com/model/1981inventions/lvl	FOUND
EarthQuaker Devices	Gary Automatic Pulse Modulation Fuzz	Fuzz/Overdrive	Fuzz into overdrive with an envelope-controlled square-wave fuzz section and an adjustable op-amp drive stage.	https://www.effectsdatabase.com/model/earthquaker/gary	https://www.effectsdatabase.com/model/earthquaker/gary	FOUND
VDL Professional Analogics	ACE Hot Bird	Fuzz/Overdrive/Distortion	All-analog drive, distortion and fuzz unit designed to move from subtle warm drive through heavier fuzz with extensive tone-shaping controls.	https://www.effectsdatabase.com/model/vdl/hotbird	https://www.effectsdatabase.com/model/vdl/hotbird	FOUND
1981 Inventions	DRV	Distortion	Low-to-medium/high-gain drive/distortion platform in the 1981 Inventions catalog.	https://www.effectsdatabase.com/model/jhspedals/1981inventions/drv	https://www.effectsdatabase.com/model/jhspedals/1981inventions/drv	DISCOVERY
