variant_id	parent_model	variant_label	source_url	source_type	research_note
VAR-0001	Tone Bender Professional MKII	Sola Sound 1966 short-board / MK1.5 conversion	https://fuzzboxes.org/tonebendermkii	Fuzzboxes.org	Dedicated historical photo source describing short-board conversion examples.
VAR-0002	Tone Bender Professional MKII	Sola Sound 1966-1968 conventional large-board	https://fuzzboxes.org/tonebendermkii	Fuzzboxes.org	Same model family, distinct documented production construction period.
VAR-0003	Tone Bender Professional MKII	Vox-branded silver Hammerite period	https://fuzzboxes.org/voxtonebendermkii	Fuzzboxes.org	Vox branding and silver Hammerite enclosure are visually diagnostic.
VAR-0004	Tone Bender Professional MKII	Sola Sound MKII D*A*M/Macari Vintage Series reissue	https://www.effectsdatabase.com/model/solasound/tonebender/mk2/dam	Effects Database	2009 onward reissue; keep visually distinct from vintage originals.
VAR-0005	Tone Bender MKIII	Vox standard black/orange MKIII	https://www.effectsdatabase.com/model/vox/colorsound/tonebender/mk3	Effects Database	Core MKIII visual reference.
VAR-0006	Tone Bender MKIII	Vox MKIII with Treble 'n' Bass Boost	https://www.effectsdatabase.com/model/vox/colorsound/tonebender/mk3/treblebassboost	Effects Database	Distinct control labeling and dedicated variant page.
VAR-0007	Tone Bender MKIII	Vox Hastings MKIII	https://www.effectsdatabase.com/model/vox/hastings/tonebender	Effects Database	Distinct long enclosure and four-control visual state.
VAR-0008	Tone Bender MKIV	Sola Sound early white/orange 'bendy' graphic	https://fuzzboxes.org/tonebendermkiv	Fuzzboxes.org	Early MKIV graphic period target.
VAR-0009	Tone Bender MKIV	Sola Sound later 'Batman' graphic	https://fuzzboxes.org/tonebendermkiv	Fuzzboxes.org	Later MKIV graphic period target.
VAR-0010	Rotosound Fuzz Box	RotoSound Fuzz Box MkIII	https://www.effectsdatabase.com/model/rotosound/fuzzbox/mk3	Effects Database	Dedicated MkIII page with image gallery.
VAR-0011	Rotosound Fuzz Box	RotoSound Fuzz Box full historical version gallery	https://fuzzboxes.org/rotosoundfuzzbox	Fuzzboxes.org	Contains cast-metal blue/gold, silver, pressed-steel two-knob/three-knob and Jennings-branded historical states.
VAR-0012	Park Fuzz Sound	Vintage Sola Sound/Colorsound Park Fuzz Sound	https://www.effectsdatabase.com/model/park/fuzzsound	Effects Database	Vintage Park lineage and related-version evidence.
VAR-0013	Park Fuzz Sound	Park by Colby Amplification / EarthQuaker Devices reissue	https://www.effectsdatabase.com/model/park/colby/fuzzsound	Effects Database	2015-era reissue; visually distinct from vintage Park.
VAR-0014	Park Fuzz Sound	Park Custom Shop Fuzz Sound	https://www.effectsdatabase.com/model/park/customshop/fuzzsound	Effects Database	2026 Custom Shop version; preserve as separate modern visual state.
VAR-0015	Marshall SupaFuzz	Marshall Supa Fuzz early Sola Sound-supplied period	https://www.effectsdatabase.com/model/marshall/supafuzz	Effects Database	Source page contains multiple dated demonstrations and image references.
VAR-0016	Marshall SupaFuzz	Marshall Supa Fuzz later Marshall-produced appearance	https://knowyourvintageguitars.be/products/marshall-supa-fuzz	Collector/dealer archive	Visual reference for later 1960s appearance and packaging.
VAR-0017	Carlsbro Fuzz-Tone	Carlsbro Fuzz-Tone vintage gallery	https://www.effectsdatabase.com/model/carlsbro/fuzztone	Effects Database	Multiple documented photos on dedicated historical page.
VAR-0018	Big Muff Pi	Triangle Big Muff V1	https://reverb.com/uk/p/electro-harmonix-big-muff-pi-v1-triangle	Reverb	Specific Triangle V1 specimen photo target.
VAR-0019	Big Muff Pi	Triangle Big Muff family	https://www.effectsdatabase.com/model/eh/bigmuffpi	Effects Database	Use family page to discover multiple Triangle specimens; do not assume every returned image is Triangle.
VAR-0020	Big Muff Pi	Ram's Head 1970s large enclosure	https://www.effectsdatabase.com/model/dam/ramhead	Effects Database	Dedicated Ram Head page; pair with vintage EHX specimen searches for original appearance.
VAR-0021	Big Muff Pi	Op-Amp 1978 silver/black graphic	https://www.effectsdatabase.com/model/eh/nano/bigmuffpi/opamp	Effects Database	Dedicated Op-Amp family/reissue page; original-period specimens require separate vintage sourcing.
VAR-0022	Big Muff Pi	Sovtek/Russian historical family	https://www.effectsdatabase.com/model/eh/sovtek/bigmuffpi	Effects Database	Dedicated Russian family page with grey, yellow, green and black historical/reissue image groups.
VAR-0023	Tube Screamer	TS808 narrow-box / Flying Fingers vintage	https://www.effectsdatabase.com/model/ibanez/808/ts808	Effects Database	Dedicated page documents narrow and wide box image groups.
VAR-0024	Tube Screamer	TS808 wide-box vintage/reissue	https://www.effectsdatabase.com/model/ibanez/808/ts808	Effects Database	Visually distinct enclosure width state.
VAR-0025	Tube Screamer	TS808 35th Anniversary narrow-box reissue	https://www.effectsdatabase.com/model/ibanez/808/ts808/35th	Effects Database	Limited modern reissue, serialised 2014-era visual target.
VAR-0026	Tube Screamer	TS9 original 1980s green enclosure	https://www.effectsdatabase.com/model/ibanez/9/ts9	Effects Database	Original TS9 visual state and later reissue distinction.
VAR-0027	RAT	RAT2	https://www.effectsdatabase.com/model/proco/rat	Effects Database	Major production variant to keep visually distinct from earlier RATs.
VAR-0028	RAT	Turbo RAT	https://www.effectsdatabase.com/model/proco/rat/turbo	Effects Database	Dedicated variant page with historical video/image references.
VAR-0029	RAT	You Dirty RAT	https://www.effectsdatabase.com/model/proco/rat/dirty	Effects Database	Dedicated variant page; germanium-clipping model should retain its own visual identity.
VAR-0030	RAT	1985 Whiteface RAT	https://www.effectsdatabase.com/model/proco/rat/whiteface/1985	Effects Database	Dedicated Whiteface page with original/reissue image grouping.
VAR-0031	RAT	Vintage Big Box RAT	https://www.effectsdatabase.com/model/proco/rat	Effects Database	Early enclosure generation to be separated from later small-box RAT2.
