entity	relationship	related_entity	status	confidence	source	note
Honey Psychedelic Machine	EARLIEST_STATE_OF_SUPER_FUZZ_FAMILY	Shin-Ei / Companion FY-6 ecosystem	RESEARCH_VALIDATED	HIGH	https://www.effectsdatabase.com/model/honey/psychedelicmachine	Honey Psychedelic Machine is documented as the earliest large-format state in the later Super-Fuzz family; preserve Honey as its own marketed identity.
Honey Baby Crying	EARLY_STANDALONE_SUPER_FUZZ_STATE	Shin-Ei / Companion FY-6 ecosystem	RESEARCH_VALIDATED	HIGH	https://www.effectsdatabase.com/model/univox/superfuzz	Standalone Honey Baby Crying predates later Shin-Ei/Univox branded states; do not merge as a duplicate.
Univox U-1095 Super-Fuzz	MARKETED_OEM_STATE	Shin-Ei Companion FY-6	RESEARCH_VALIDATED	HIGH	https://www.effectsdatabase.com/model/univox/superfuzz	Univox is a branded/distribution identity within the Shin-Ei OEM ecosystem; retain Unicord as distributor/marketed relationship rather than physical-builder attribution.
Shin-Ei Companion FY-6 Super Fuzz	PHYSICAL_BUILDER_ANCHOR	Univox U-1095 Super-Fuzz	RESEARCH_VALIDATED	HIGH	https://www.effectsdatabase.com/model/shinei/companion/fy6	FY-6 is the builder-side anchor for a broad family of marketed OEM variants.
Companion WF-8 8-Tr Fuzz Wah	OEM_FAMILY	Shin-Ei	RESEARCH_VALIDATED	HIGH	https://www.effectsdatabase.com/model/companion/fuzzwah/8tr/2	WF-8 is explicitly documented as Shin-Ei OEM and sold under Shin-Ei, Jax, National, Crown and other names.
Mayfair 6-Tr Fuzz Wah	OEM_FAMILY	Shin-Ei Companion series	RESEARCH_VALIDATED	HIGH	https://www.effectsdatabase.com/model/mayfair/fuzzwah/6tr	Mayfair is a marketed identity for a Shin-Ei-made family member; keep the marketed identity distinct.
Guyatone FS-3	POTENTIAL_POST-HONEY_COMPONENT_REUSE	Honey Psychedelic Machine / Honey Super-Fuzz lineage	RESEARCH_CANDIDATE	MEDIUM	https://www.effectsdatabase.com/model/guyatone/fs/3	Honey-labeled PCB evidence suggests component or OEM continuity, but factory attribution is not definitive.
Teisco Wau Wau Fuzz	LIKELY_OEM_MEMBER	Shin-Ei	RESEARCH_VALIDATED	HIGH	https://www.effectsdatabase.com/model/teisco/wauwaufuzz	Current source identifies it as likely Shin-Ei-built and related to Ibanez/Guyatone/Elk/Mica/Antoria/Lord/Aria Diamond/Bruno/Memphis variants.
Maxon	SEPARATE_MANUFACTURING_LINE	Shin-Ei / Univox ecosystem	NOT_MERGED	HIGH	https://www.effectsdatabase.com/brand/maxon	Do not infer Maxon manufacture from shared Japanese provenance or later Ibanez relationships; model-specific evidence is required.
Ibanez / Maxon	BRAND_OEM_RELATIONSHIP	SELECTED_IBANEZ_MODELS	RESEARCH_VALIDATED	HIGH	https://www.effectsdatabase.com/	Preserve Ibanez as marketed brand and Maxon as manufacturer where model-specific evidence supports it; this does not collapse the Shin-Ei Super-Fuzz family into Maxon.
